date,TEMP,DEWP,SLP,WDSP,MAX,MIN,PRCP,co_24h,no2_24h,o3_24h,pm10_24h,pm25_24h,so2_24h,AQI,TEMP_DIFF,PRCP_BINARY,AQI_lag1,pm25_24h_lag1,pm10_24h_lag1,o3_24h_lag1,co_24h_lag1,no2_24h_lag1,so2_24h_lag1,TEMP_lag1,TEMP_lag2,DEWP_lag1,DEWP_lag2,SLP_lag1,SLP_lag2,WDSP_lag1,WDSP_lag2,MAX_lag1,MAX_lag2,MIN_lag1,MIN_lag2,PRCP_lag1,PRCP_lag2,TEMP_DIFF_lag1,TEMP_DIFF_lag2,PRCP_BINARY_lag1,PRCP_BINARY_lag2
2024-02-14,42.6,19.3,1016.2,6.0,59.0,25.0,0.0,0.3739130434782609,0.0165636363636363,0.0308260869565217,15.652173913043478,4.304347826086956,0.0,29,34.0,0,25.0,3.5375,10.625,0.0265,0.3166666666666666,0.0153916666666666,0.0,38.6,34.6,20.3,19.6,1018.9,1020.9,2.7,4.1,55.0,48.0,24.1,24.1,0.0,0.0,30.9,23.9,0.0,0.0
2024-02-15,43.3,16.9,1019.7,5.4,60.1,28.9,0.0,0.3374999999999999,0.0167249999999999,0.0278333333333333,16.818181818181817,4.086363636363637,0.0,26,31.200000000000003,0,29.0,4.304347826086956,15.652173913043478,0.0308260869565217,0.3739130434782609,0.0165636363636363,0.0,42.6,38.6,19.3,20.3,1016.2,1018.9,6.0,2.7,59.0,55.0,25.0,24.1,0.0,0.0,34.0,30.9,0.0,0.0
2024-02-16,46.7,22.0,1016.0,5.8,60.1,28.9,0.0,0.2708333333333333,0.0134833333333333,0.03025,12.583333333333334,3.591666666666667,0.0,28,31.200000000000003,0,26.0,4.086363636363637,16.818181818181817,0.0278333333333333,0.3374999999999999,0.0167249999999999,0.0,43.3,42.6,16.9,19.3,1019.7,1016.2,5.4,6.0,60.1,59.0,28.9,25.0,0.0,0.0,31.200000000000003,34.0,0.0,0.0
2024-02-17,43.0,24.5,1017.7,7.5,57.9,30.0,0.0,0.2238095238095238,0.0082428571428571,0.0254285714285714,13.285714285714286,6.066666666666667,0.0,34,27.9,0,28.0,3.591666666666667,12.583333333333334,0.03025,0.2708333333333333,0.0134833333333333,0.0,46.7,43.3,22.0,16.9,1016.0,1019.7,5.8,5.4,60.1,60.1,28.9,28.9,0.0,0.0,31.200000000000003,31.200000000000003,0.0,0.0
2024-02-18,35.5,23.3,1020.5,5.4,54.0,25.0,0.0,0.2666666666666666,0.0100999999999999,0.0205833333333333,13.958333333333334,5.995833333333334,0.0,33,29.0,0,34.0,6.066666666666667,13.285714285714286,0.0254285714285714,0.2238095238095238,0.0082428571428571,0.0,43.0,46.7,24.5,22.0,1017.7,1016.0,7.5,5.8,57.9,60.1,30.0,28.9,0.0,0.0,27.9,31.200000000000003,0.0,0.0
2024-02-19,44.7,25.2,1018.5,3.5,62.1,25.0,0.0,0.3772727272727273,0.0172368421052631,0.0277727272727272,19.75,6.083333333333333,0.0,34,37.1,0,33.0,5.995833333333334,13.958333333333334,0.0205833333333333,0.2666666666666666,0.0100999999999999,0.0,35.5,43.0,23.3,24.5,1020.5,1017.7,5.4,7.5,54.0,57.9,25.0,30.0,0.0,0.0,29.0,27.9,0.0,0.0
2024-02-20,50.0,19.6,1020.6,3.8,66.9,30.9,0.0,0.3458333333333334,0.0198291666666666,0.0228333333333333,25.875,4.7875,0.0,27,36.00000000000001,0,34.0,6.083333333333333,19.75,0.0277727272727272,0.3772727272727273,0.0172368421052631,0.0,44.7,35.5,25.2,23.3,1018.5,1020.5,3.5,5.4,62.1,54.0,25.0,25.0,0.0,0.0,37.1,29.0,0.0,0.0
2024-02-21,49.0,13.2,1016.5,5.6,66.9,35.1,0.0,0.3166666666666667,0.0164208333333333,0.0232916666666666,32.208333333333336,4.920833333333333,0.0,30,31.800000000000004,0,27.0,4.7875,25.875,0.0228333333333333,0.3458333333333334,0.0198291666666666,0.0,50.0,44.7,19.6,25.2,1020.6,1018.5,3.8,3.5,66.9,62.1,30.9,25.0,0.0,0.0,36.00000000000001,37.1,0.0,0.0
2024-02-22,50.7,21.0,1015.7,7.8,66.0,35.1,0.0,0.2166666666666666,0.0083791666666666,0.03225,11.166666666666666,2.4041666666666663,0.0,30,30.9,0,30.0,4.920833333333333,32.208333333333336,0.0232916666666666,0.3166666666666667,0.0164208333333333,0.0,49.0,50.0,13.2,19.6,1016.5,1020.6,5.6,3.8,66.9,66.9,35.1,30.9,0.0,0.0,31.800000000000004,36.00000000000001,0.0,0.0
2024-02-23,45.7,13.7,1020.8,7.4,60.1,33.1,0.0,0.2416666666666666,0.0059583333333333,0.037125,7.958333333333333,1.85,0.0,34,27.0,0,30.0,2.4041666666666663,11.166666666666666,0.03225,0.2166666666666666,0.0083791666666666,0.0,50.7,49.0,21.0,13.2,1015.7,1016.5,7.8,5.6,66.0,66.9,35.1,35.1,0.0,0.0,30.9,31.800000000000004,0.0,0.0
